"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 02 09:17:14 CST 2020","Wed Dec 02 09:17:17 CST 2020","2552","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_004_immediately_Fee[case1]",""
"passed","Wed Dec 02 09:13:46 CST 2020","Wed Dec 02 09:13:48 CST 2020","2406","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_007_get_Not_Label_Family_User[case1]","
            用例描述：获取成员标签及用户信息
        "
"passed","Wed Dec 02 09:15:31 CST 2020","Wed Dec 02 09:15:33 CST 2020","2296","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_004_update_Locate_City[case1]","
            用例描述：首页--更新所属城市
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_008_family_house_list[case0]","
            用例描述：获取用户房屋列表
        "
"passed","Wed Dec 02 09:19:32 CST 2020","Wed Dec 02 09:19:35 CST 2020","2440","TestCase_004_ysy_property","test_ysy_pro_001_login","TestYsyPro001Login","","","test_ysy_pro_001_user_login[case2]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:20:26 CST 2020","Wed Dec 02 09:20:29 CST 2020","3129","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_004_adImg_list_biotopeId[case1]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_003_epidemic_Info[case0]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_003_fee_history[case0]",""
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_007_get_Not_Label_Family_User[case0]","
            用例描述：获取成员标签及用户信息
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_004_gated_open_Code[case0]","
            用例描述：首页-智慧门禁--人像管理--扫码开门
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_006_repair_find_Index_Order_Num[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:14:00 CST 2020","Wed Dec 02 09:14:03 CST 2020","2375","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_009_update_Bind[case2]","
            用例描述：设置默认房屋
            设置之后test_ysy_002_invitation即将使用绑定了道闸设备的小区
        "
"passed","Wed Dec 02 09:15:25 CST 2020","Wed Dec 02 09:15:28 CST 2020","2928","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_003_login_Score[case1]","
            用例描述：首页--每日登陆获取积分
        "
"passed","Wed Dec 02 09:16:20 CST 2020","Wed Dec 02 09:16:24 CST 2020","4489","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_002_repair_publish[case3]","
            用例描述：报修历史记录
        "
"passed","Wed Dec 02 09:21:53 CST 2020","Wed Dec 02 09:21:55 CST 2020","2448","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case9]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:15:11 CST 2020","Wed Dec 02 09:15:14 CST 2020","2309","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_001_today_Recommed[case1]","
            用例描述：首页--今日推荐
        "
"passed","Wed Dec 02 09:19:15 CST 2020","Wed Dec 02 09:19:18 CST 2020","2656","TestCase_003_o2o","test_o2o_001_myself","TestO2O001Myself","","","test_myself_001_get_my_three_info[case1]","
            用例描述：首页--每日登陆获取积分
        "
"passed","Wed Dec 02 09:18:40 CST 2020","Wed Dec 02 09:18:42 CST 2020","2264","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_yhz_001_register_verify[case1]","
            用例描述：获取验证码
        "
"passed","Wed Dec 02 09:22:13 CST 2020","Wed Dec 02 09:22:15 CST 2020","2288","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_010_get_Repair_List[case4]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:15:02 CST 2020","Wed Dec 02 09:15:05 CST 2020","2976","TestCase_001_ysy","test_ysy_003_biotope_serve","TestYsy003BiotopeServe","","","test_biotope_serve_004_list_bannerCode[case2]","
            用例描述：首页banner
        "
"passed","Wed Dec 02 09:13:58 CST 2020","Wed Dec 02 09:14:00 CST 2020","2500","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_009_update_Bind[case1]","
            用例描述：设置默认房屋
            设置之后test_ysy_002_invitation即将使用绑定了道闸设备的小区
        "
"passed","Wed Dec 02 09:14:37 CST 2020","Wed Dec 02 09:14:40 CST 2020","2860","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_004_invite_Visitor[case1]","
            用例描述：获取验证码，该用例数据源来自excel
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_003_o2o","test_o2o_001_myself","TestO2O001Myself","","","test_myself_002_member_list[case0]","
            用例描述：首页--每日登陆获取积分
        "
"passed","Wed Dec 02 09:20:12 CST 2020","Wed Dec 02 09:20:14 CST 2020","2328","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_003_epidemic_Info[case2]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:22:20 CST 2020","Wed Dec 02 09:22:22 CST 2020","2744","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_010_get_Repair_List[case7]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:19:08 CST 2020","Wed Dec 02 09:19:11 CST 2020","2519","TestCase_002_yhz_old_regitster","test_yhz_002_Warm_heart_service","TestYhz002WarmHearService","","","test_yhz_002_get_send_food_record_list[case1]","
            用例描述：送餐记录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_007_myself","TestYsy007Myself","","","test_myself_001_user_info[case0]","
            用例描述：获取验证码
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_003_biotope_serve","TestYsy003BiotopeServe","","","test_biotope_serve_002_notice_newest[case0]","
            用例描述：首页刷新--广播
        "
"passed","Wed Dec 02 09:18:31 CST 2020","Wed Dec 02 09:18:33 CST 2020","2240","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_005_device_door_open[case1]","
            用例描述：首页-智慧门禁--人像管理--远程开门
        "
"passed","Wed Dec 02 09:15:19 CST 2020","Wed Dec 02 09:15:23 CST 2020","4241","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_002_topic[case1]","
            用例描述：首页--话题专栏
        "
"passed","Wed Dec 02 09:16:48 CST 2020","Wed Dec 02 09:16:50 CST 2020","2524","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_004_repair_userCancel[case1]","
            用例描述：报修历史记录
        "
"passed","Wed Dec 02 09:21:57 CST 2020","Wed Dec 02 09:22:00 CST 2020","2832","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case11]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_login_003_user_info[case0]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:22:05 CST 2020","Wed Dec 02 09:22:08 CST 2020","2441","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_010_get_Repair_List[case2]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_003_get_Face_Apply_Reason[case0]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"passed","Wed Dec 02 09:18:06 CST 2020","Wed Dec 02 09:18:08 CST 2020","2207","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_002_get_Face_List[case2]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"passed","Wed Dec 02 09:18:22 CST 2020","Wed Dec 02 09:18:25 CST 2020","2232","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_004_gated_open_Code[case2]","
            用例描述：首页-智慧门禁--人像管理--扫码开门
        "
"passed","Wed Dec 02 09:19:20 CST 2020","Wed Dec 02 09:19:24 CST 2020","3424","TestCase_003_o2o","test_o2o_001_myself","TestO2O001Myself","","","test_myself_002_member_list[case1]","
            用例描述：首页--每日登陆获取积分
        "
"passed","Wed Dec 02 09:13:10 CST 2020","Wed Dec 02 09:13:13 CST 2020","2672","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_001_get_verifycode[case3]","
            用例描述：获取验证码
        "
"passed","Wed Dec 02 09:19:57 CST 2020","Wed Dec 02 09:20:01 CST 2020","3514","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_002_receive_setting_info[case1]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:52 CST 2020","34735","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_002_get_Face_List[case0]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"passed","Wed Dec 02 09:18:14 CST 2020","Wed Dec 02 09:18:16 CST 2020","2288","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_003_get_Face_Apply_Reason[case1]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_003_o2o","test_o2o_001_myself","TestO2O001Myself","","","test_myself_001_get_my_three_info[case0]","
            用例描述：首页--每日登陆获取积分
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_001_get_Biotope_Face[case0]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_002_get_Wait_Visitor[case0]","
            用例描述：获取验证码，该用例数据源来自excel
        "
"passed","Wed Dec 02 09:19:02 CST 2020","Wed Dec 02 09:19:04 CST 2020","2473","TestCase_002_yhz_old_regitster","test_yhz_002_Warm_heart_service","TestYhz002WarmHearService","","","test_yhz_001_get_people_mark_list[case1]","
            用例描述：敬老送餐--获取老人餐食要求及禁忌
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_001_get_verifycode[case0]","
            用例描述：获取验证码
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_004_update_Locate_City[case0]","
            用例描述：首页--更新所属城市
        "
"passed","Wed Dec 02 09:15:53 CST 2020","Wed Dec 02 09:15:55 CST 2020","2393","TestCase_001_ysy","test_ysy_006_mall","TestYsy006Mall","","","test_mall_001_mall_index[case1]","
            用例描述：首页--访问状态
        "
"passed","Wed Dec 02 09:21:35 CST 2020","Wed Dec 02 09:21:46 CST 2020","10984","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case6]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_002_repair_publish[case0]","
            用例描述：报修历史记录
        "
"passed","Wed Dec 02 09:14:59 CST 2020","Wed Dec 02 09:15:02 CST 2020","3220","TestCase_001_ysy","test_ysy_003_biotope_serve","TestYsy003BiotopeServe","","","test_biotope_serve_004_list_bannerCode[case1]","
            用例描述：首页banner
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_003_sign_find_employees_sign[case0]","
            用例描述:根据员工Id获取当天最近一次签到记录
        "
"passed","Wed Dec 02 09:14:19 CST 2020","Wed Dec 02 09:14:24 CST 2020","4954","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_001_bind_house[case1]","
            用例描述：访客邀请--到访户号--正常
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_006_get_Weather_Info[case0]","
            用例描述：首页--获取天气信息
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_001_bind_house[case0]","
            用例描述：访客邀请--到访户号--正常
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_001_ysy","test_ysy_011_personal _home","TestYsy011PersonalHome","","","test_personal_home_001_getBack_Ground[case0]",""
"passed","Wed Dec 02 09:13:18 CST 2020","Wed Dec 02 09:13:22 CST 2020","3188","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_002_log_in[case2]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:20:44 CST 2020","Wed Dec 02 09:20:47 CST 2020","3193","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_006_repair_find_Index_Order_Num[case2]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_login_002_log_in[case0]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:20:49 CST 2020","Wed Dec 02 09:20:52 CST 2020","2584","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_008_Health_Check_visitAdd[case1]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:21:55 CST 2020","Wed Dec 02 09:21:57 CST 2020","2313","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case10]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:21:32 CST 2020","Wed Dec 02 09:21:35 CST 2020","2976","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case5]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:16:05 CST 2020","Wed Dec 02 09:16:08 CST 2020","3213","TestCase_001_ysy","test_ysy_007_myself","TestYsy007Myself","","","test_myself_001_user_info[case2]","
            用例描述：获取验证码
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_002_fee_stayFee[case0]",""
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_001_login","TestYsyPro001Login","","","test_ysy_pro_001_user_login[case0]","
            用例描述：物业app密码登录
        "
